Time_Prd,Measure_Type,Counterparty_Client,CCR_CDS,Area_Operation,INPUT,TIME_PERIOD,OBS_VALUE
ATD,NTCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,170
ATD,NTCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,180
ATD,NTCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,142
ATD,NTCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,152
ATD,NTPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,165
ATD,NTPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,175
ATD,NTPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,137
ATD,NTPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,147
ATD,NTT,N_A,PROBUY,GL_OP,N_A,2019-Q2,590
ATD,NTT,N_A,PROBUY,GL_OP,N_A,2019-Q2,600
ATD,NTT,N_A,PROSEL,GL_OP,N_A,2019-Q2,370
ATD,NTT,N_A,PROSEL,GL_OP,N_A,2019-Q2,450
ATD,RWDPB,N_A,PROBUY,GL_OP,tyrytry,2019-Q2,10961.38
ATD,RWDPB,N_A,PROBUY,GL_OP,uybbnbweew,2019-Q2,11020.26
ATD,RWDPB,N_A,PROSEL,GL_OP,tyrytry,2019-Q2,10949.43
ATD,RWDPB,N_A,PROSEL,GL_OP,uybbnbweew,2019-Q2,11008.31
PERIOD_END,APCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,10970.56
PERIOD_END,APCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,11073.6
PERIOD_END,APCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,10958.61
PERIOD_END,APCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,11061.65
PERIOD_END,APPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,10955.84
PERIOD_END,APPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,11058.88
PERIOD_END,APPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,10943.89
PERIOD_END,APPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,11046.93
PERIOD_END,APT,N_A,PROBUY,GL_OP,N_A,2019-Q2,32033
PERIOD_END,APT,N_A,PROBUY,GL_OP,N_A,2019-Q2,28000
PERIOD_END,APT,N_A,PROSEL,GL_OP,N_A,2019-Q2,30014
PERIOD_END,APT,N_A,PROSEL,GL_OP,N_A,2019-Q2,27000
PERIOD_END,NICDSCRPCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,37000
PERIOD_END,NICDSCRPCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,35000
PERIOD_END,NICDSCRPCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,38000
PERIOD_END,NICDSCRPCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,34000
PERIOD_END,NICDSCRPCSP,N_A,PROBUY,GL_OP,N_A,2019-Q2,11000
PERIOD_END,NICDSCRPCSP,N_A,PROBUY,GL_OP,N_A,2019-Q2,11088.32
PERIOD_END,NICDSCRPCSP,N_A,PROSEL,GL_OP,N_A,2019-Q2,10988.05
PERIOD_END,NICDSCRPCSP,N_A,PROSEL,GL_OP,N_A,2019-Q2,11076.37
PERIOD_END,NICDSCRPCSR,N_A,PROBUY,GL_OP,N_A,2019-Q2,11014.72
PERIOD_END,NICDSCRPCSR,N_A,PROBUY,GL_OP,N_A,2019-Q2,11103.04
PERIOD_END,NICDSCRPCSR,N_A,PROSEL,GL_OP,N_A,2019-Q2,11002.77
PERIOD_END,NICDSCRPCSR,N_A,PROSEL,GL_OP,N_A,2019-Q2,11091.09
PERIOD_END,NICDSPPR,N_A,PROBUY,GL_OP,N_A,2019-Q2,11029.44
PERIOD_END,NICDSPPR,N_A,PROBUY,GL_OP,N_A,2019-Q2,11117.76
PERIOD_END,NICDSPPR,N_A,PROSEL,GL_OP,N_A,2019-Q2,11017.49
PERIOD_END,NICDSPPR,N_A,PROSEL,GL_OP,N_A,2019-Q2,11105.81
PERIOD_END,NTCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,226
PERIOD_END,NTCS,N_A,PROBUY,GL_OP,N_A,2019-Q2,236
PERIOD_END,NTCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,198
PERIOD_END,NTCS,N_A,PROSEL,GL_OP,N_A,2019-Q2,208
PERIOD_END,NTPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,221
PERIOD_END,NTPS,N_A,PROBUY,GL_OP,N_A,2019-Q2,231
PERIOD_END,NTPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,193
PERIOD_END,NTPS,N_A,PROSEL,GL_OP,N_A,2019-Q2,203
PERIOD_END,NTT,N_A,PROBUY,GL_OP,N_A,2019-Q2,547
PERIOD_END,NTT,N_A,PROBUY,GL_OP,N_A,2019-Q2,700
PERIOD_END,NTT,N_A,PROSEL,GL_OP,N_A,2019-Q2,510
PERIOD_END,NTT,N_A,PROSEL,GL_OP,N_A,2019-Q2,650
PERIOD_END,RWDPB,N_A,PROBUY,GL_OP,tyrytry,2019-Q2,10985.28
PERIOD_END,RWDPB,N_A,PROBUY,GL_OP,uybbnbweew,2019-Q2,11044.16
PERIOD_END,RWDPB,N_A,PROSEL,GL_OP,tyrytry,2019-Q2,10973.33
PERIOD_END,RWDPB,N_A,PROSEL,GL_OP,uybbnbweew,2019-Q2,11032.21
